p,k,size,order
17,3,4,4370
17,3,4,65536
17,3,4,21846
17,3,4,65536
17,3,4,13108
17,3,4,21846
17,3,4,21846
17,3,4,65536
17,3,4,21846
17,3,4,65536
17,3,4,21846
17,3,4,21846
17,3,4,65536
17,3,4,1286
17,3,4,4370
17,3,4,21846
17,3,4,65536
17,3,4,4370
17,3,4,4370
17,3,4,3856
17,3,4,21846
17,3,4,21846
17,3,4,4370
17,3,4,65536
17,3,4,65536
17,3,4,21846
17,3,4,21846
17,3,4,21846
17,3,4,4370
17,3,4,21846
17,3,4,4370
17,3,4,65536
17,3,4,4370
17,3,4,13108
17,3,4,3856
17,3,4,1286
17,3,4,21846
17,3,4,65536
17,3,4,4370
17,3,4,65536
17,3,4,65536
17,3,4,4370
17,3,4,65536
17,3,4,65536
17,3,4,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,4370
17,3,5,772
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,13108
17,3,5,65536
17,3,5,13108
17,3,5,21846
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,13108
17,3,5,21846
17,3,5,65536
17,3,5,21846
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,21846
17,3,5,65536
17,3,5,21846
17,3,5,21846
17,3,5,65536
17,3,5,65536
17,3,5,13108
17,3,5,65536
17,3,5,65536
17,3,5,21846
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,13108
17,3,5,65536
17,3,5,21846
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,13108
17,3,5,21846
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,21846
17,3,5,4370
17,3,5,65536
17,3,5,21846
17,3,5,65536
17,3,5,21846
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,21846
17,3,5,65536
17,3,5,65536
17,3,5,3856
17,3,5,772
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,13108
17,3,5,21846
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,65536
17,3,5,21846
17,3,5,65536
17,3,5,21846
17,3,5,21846
17,3,5,21846
17,3,5,4370
17,3,5,65536
17,3,5,3856
17,3,5,65536
17,3,6,65536
17,3,6,21846
17,3,6,21846
17,3,6,65536
17,3,6,4370
17,3,6,13108
17,3,6,3856
17,3,6,65536
17,3,6,21846
17,3,6,65536
17,3,6,21846
17,3,6,4370
17,3,6,65536
17,3,6,65536
17,3,6,65536
17,3,6,13108
17,3,6,21846
17,3,6,3856
17,3,6,65536
17,3,6,65536
17,3,6,13108
17,3,6,3856
17,3,6,21846
17,3,6,4370
17,3,6,65536
17,3,6,4370
17,3,6,21846
17,3,6,21846
17,3,6,13108
17,3,6,21846
17,3,6,21846
17,3,6,21846
17,3,6,65536
17,3,6,21846
17,3,6,65536
17,3,6,3856
17,3,6,21846
17,3,6,13108
17,3,6,13108
17,3,6,65536
17,3,6,21846
17,3,6,65536
17,3,6,21846
17,3,6,21846
17,3,6,21846
17,3,6,13108
17,3,6,21846
17,3,6,65536
17,3,6,65536
17,3,6,65536
17,3,6,1286
17,3,6,772
17,3,6,65536
17,3,6,65536
17,3,6,65536
17,3,6,65536
17,3,6,13108
17,3,6,1286
17,3,6,65536
17,3,6,21846
17,3,6,65536
17,3,6,13108
17,3,6,21846
17,3,6,21846
17,3,6,13108
17,3,6,13108
17,3,6,65536
17,3,6,13108
17,3,6,65536
17,3,6,13108
17,3,6,65536
17,3,6,65536
17,3,6,65536
17,3,6,65536
17,3,6,13108
17,3,6,13108
17,3,6,21846
17,3,6,65536
17,3,6,21846
17,3,6,21846
17,3,6,65536
17,3,6,65536
17,3,6,65536
17,3,6,13108
17,3,6,65536
17,3,6,21846
17,3,6,65536
17,3,6,13108
17,3,6,21846
17,3,6,13108
17,3,6,21846
17,3,6,21846
17,3,6,65536
17,3,6,21846
17,3,6,13108
17,3,6,65536
17,3,6,21846
17,3,6,65536
17,3,6,4370
17,3,6,65536
17,3,7,65536
17,3,7,65536
17,3,7,65536
17,3,7,65536
17,3,7,65536
17,3,7,65536
17,3,7,13108
17,3,7,65536
17,3,7,4370
17,3,7,21846
17,3,7,65536
17,3,7,3856
17,3,7,65536
17,3,7,65536
17,3,7,65536
17,3,7,13108
17,3,7,1286
17,3,7,65536
17,3,7,21846
17,3,7,13108
17,3,7,21846
17,3,7,65536
17,3,7,65536
17,3,7,65536
17,3,7,65536
17,3,7,65536
17,3,7,3856
17,3,7,3856
17,3,7,4370
17,3,7,13108
17,3,7,13108
17,3,7,65536
17,3,7,65536
17,3,7,13108
17,3,7,3856
17,3,7,65536
17,3,7,65536
17,3,7,65536
17,3,7,13108
17,3,7,65536
17,3,7,65536
17,3,7,4370
17,3,7,65536
17,3,7,65536
17,3,7,21846
17,3,7,13108
17,3,7,65536
17,3,7,13108
17,3,7,65536
17,3,7,13108
17,3,7,65536
17,3,7,65536
17,3,7,13108
17,3,7,65536
17,3,7,65536
17,3,7,21846
17,3,7,4370
17,3,7,3856
17,3,7,65536
17,3,7,65536
17,3,7,772
17,3,7,21846
17,3,7,65536
17,3,7,65536
17,3,7,13108
17,3,7,65536
17,3,7,13108
17,3,7,21846
17,3,7,21846
17,3,7,65536
17,3,7,13108
17,3,7,65536
17,3,7,65536
17,3,7,65536
17,3,7,65536
17,3,7,4370
17,3,7,65536
17,3,7,13108
17,3,7,65536
17,3,7,65536
17,3,7,13108
17,3,7,65536
17,3,7,65536
17,3,7,65536
17,3,7,65536
17,3,7,21846
17,3,7,4370
17,3,7,65536
17,3,7,65536
17,3,7,3856
17,3,7,65536
17,3,7,13108
17,3,7,65536
17,3,7,65536
17,3,7,65536
17,3,7,65536
17,3,7,65536
17,3,7,65536
17,3,7,13108
17,3,7,13108
17,3,8,772
17,3,8,65536
17,3,8,65536
17,3,8,65536
17,3,8,65536
17,3,8,65536
17,3,8,4370
17,3,8,65536
17,3,8,65536
17,3,8,3856
17,3,8,4370
17,3,8,21846
17,3,8,4370
17,3,8,13108
17,3,8,21846
17,3,8,21846
17,3,8,21846
17,3,8,65536
17,3,8,65536
17,3,8,4370
17,3,8,21846
17,3,8,65536
17,3,8,65536
17,3,8,65536
17,3,8,65536
17,3,8,4370
17,3,8,65536
17,3,8,65536
17,3,8,65536
17,3,8,65536
17,3,8,21846
17,3,8,21846
17,3,8,65536
17,3,8,21846
17,3,8,65536
17,3,8,21846
17,3,8,21846
17,3,8,21846
17,3,8,65536
17,3,8,65536
17,3,8,65536
17,3,8,65536
17,3,8,21846
17,3,8,13108
17,3,8,65536
17,3,8,21846
17,3,8,21846
17,3,8,65536
17,3,8,21846
17,3,8,21846
17,3,8,65536
17,3,8,65536
17,3,8,1286
17,3,8,65536
17,3,8,65536
17,3,8,65536
17,3,8,65536
17,3,8,21846
17,3,8,65536
17,3,8,65536
17,3,8,4370
17,3,8,65536
17,3,8,21846
17,3,8,65536
17,3,8,13108
17,3,8,21846
17,3,8,65536
17,3,8,21846
17,3,8,65536
17,3,8,13108
17,3,8,65536
17,3,8,65536
17,3,8,4370
17,3,8,65536
17,3,8,65536
17,3,8,65536
17,3,8,65536
17,3,8,65536
17,3,8,65536
17,3,8,4370
17,3,8,21846
